guid,external_id,upload_id,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,type,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,pr_count,kudos_count,comment_count,athlete_count,photo_count,total_photo_count,map,trainer,commute,manual,private,flagged,gear_id,gear,average_speed,max_speed,device_watts,has_kudoed,best_efforts,segment_efforts,splits_metric,splits_standard,average_watts,weighted_average_watts,max_watts,suffer_score,has_heartrate,average_heartrate,max_heartrate,average_cadence,kilojoules,average_temp,device_name,embed_token,calories,description,workout_type,photos,instagram_primary_photo,partner_logo_url,partner_brand_tag,from_accepted_tag,segment_leaderboard_opt_out,highlighted_kudosers,laps,time,latlng,altitude,heartrate,temp
,22c722d7dad283b5bc5e6cd3a7d16644,1902719773,"{'firstname': None, 'lastname': None, 'profile_medium': None, 'profile': None, 'city': None, 'state': None, 'country': None, 'sex': None, 'friend': None, 'follower': None, 'premium': None, 'created_at': None, 'updated_at': None, 'approve_followers': None, 'badge_type_id': None, 'follower_count': None, 'friend_count': None, 'mutual_friend_count': None, 'athlete_type': None, 'date_preference': None, 'measurement_preference': None, 'email': None, 'clubs': None, 'bikes': None, 'shoes': None, 'super_user': None, 'email_language': None, 'weight': None, 'max_heartrate': None, 'username': None, 'description': None, 'instagram_username': None, 'offer_in_app_payment': None, 'global_privacy': None, 'receive_newsletter': None, 'email_kom_lost': None, 'dateofbirth': None, 'facebook_sharing_enabled': None, 'ftp': None, 'profile_original': None, 'premium_expiration_date': None, 'email_send_follower_notices': None, 'plan': None, 'agreed_to_terms': None, 'follower_request_count': None, 'email_facebook_twitter_friend_joins': None, 'receive_kudos_emails': None, 'receive_follower_feed_emails': None, 'receive_comment_emails': None, 'sample_race_distance': None, 'sample_race_time': None, 'membership': None, 'admin': None, 'owner': None, 'subscription_permissions': None}",Afternoon Ride,5377.1,0:15:35,0:17:14,65.5,296.0,266.0,Ride,2018-08-14T20:53:01+00:00,2018-08-14T16:53:01,America/New_York,-14400.0,"33.79,-84.39","33.77,-84.37",,,,33.79,-84.39,3,3,0,0,2,0,0,"{'id': 'a1772448294', 'polyline': None, 'summary_polyline': 'i`fmEdcbbOvIzGyDT[uFy@e`A~AqGk@}Y`JmBrBjB|AmBv@gRxBgF|Dw@KuYtUkO`g@qI'}",False,False,False,False,False,,,5.751,11.1,False,False,,,,,113.3,,,,False,,,,105.9,,,,,,10,,,,,False,,,,,,,,
,16184546663.tcx,1902244152,"{'firstname': None, 'lastname': None, 'profile_medium': None, 'profile': None, 'city': None, 'state': None, 'country': None, 'sex': None, 'friend': None, 'follower': None, 'premium': None, 'created_at': None, 'updated_at': None, 'approve_followers': None, 'badge_type_id': None, 'follower_count': None, 'friend_count': None, 'mutual_friend_count': None, 'athlete_type': None, 'date_preference': None, 'measurement_preference': None, 'email': None, 'clubs': None, 'bikes': None, 'shoes': None, 'super_user': None, 'email_language': None, 'weight': None, 'max_heartrate': None, 'username': None, 'description': None, 'instagram_username': None, 'offer_in_app_payment': None, 'global_privacy': None, 'receive_newsletter': None, 'email_kom_lost': None, 'dateofbirth': None, 'facebook_sharing_enabled': None, 'ftp': None, 'profile_original': None, 'premium_expiration_date': None, 'email_send_follower_notices': None, 'plan': None, 'agreed_to_terms': None, 'follower_request_count': None, 'email_facebook_twitter_friend_joins': None, 'receive_kudos_emails': None, 'receive_follower_feed_emails': None, 'receive_comment_emails': None, 'sample_race_distance': None, 'sample_race_time': None, 'membership': None, 'admin': None, 'owner': None, 'subscription_permissions': None}",Afternoon Run,266.9,0:02:14,0:29:46,0.0,279.5,268.8,Run,2018-08-14T17:05:33+00:00,2018-08-14T13:05:33,America/New_York,-14400.0,"33.79,-84.39","33.79,-84.39",,,,33.79,-84.39,0,0,0,0,1,0,0,"{'id': 'a1771988793', 'polyline': None, 'summary_polyline': '{vemErkbbOo@Dz@Ei@}AT|A'}",False,False,False,False,False,,,1.992,1.4,,False,,,,,,,,,True,75.6,101,,,,,,,,0,,,,,False,,,,,,,"[50, 50, 50, 50, 75, 75, 75, 75, 69, 69, 69, 69, 69, 69, 77, 78, 78, 77, 76, 73, 74, 73, 73, 73, 68, 66, 66, 66, 70, 70, 71, 71, 71, 80, 80, 80, 80, 80, 78, 78, 78, 78, 71, 71, 71, 71, 81, 81, 81, 81, 82, 82, 77, 81, 71, 72, 72, 80, 80, 80, 82, 82, 82, 83, 84, 85, 85, 85, 85, 87, 87, 87, 87, 87, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 88, 91, 58, 58, 58, 58, 58, 57, 57, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 56, 62, 63, 63, 63, 61, 61, 61, 61, 61, 59, 60, 60, 60, 60, 60, 61, 61, 61, 61, 63, 63, 63, 63, 70, 70, 71, 71, 71, 71, 71, 72, 71, 71, 71, 71, 71, 71, 71, 73, 73, 73, 73, 73, 76, 76, 76, 76, 76, 78, 78, 78, 78, 78, 79, 79, 79, 79, 79, 79, 80, 80, 80, 80, 80, 80, 80, 80, 80, 78, 78, 78, 78, 78, 77, 77, 77, 77, 75, 75, 75, 75, 75, 76, 76, 76, 76, 76, 76, 76, 76, 75, 75, 73, 73, 73, 73, 73, 73, 73, 73, 76, 76, 76, 76, 76, 76, 77, 77, 77, 77, 77, 77, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 77, 77, 71, 72, 72, 72, 72, 72, 73, 73, 73, 73, 75, 75, 75, 75, 75, 78, 78, 79, 79, 79, 79, 79, 79, 79, 80, 80, 80, 80, 80, 77, 77, 77, 78, 78, 76, 76, 76, 76, 76, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 79, 79, 80, 80, 80, 80, 80, 80, 80, 80, 85, 85, 85, 85, 85, 86, 86, 86, 86, 87, 88, 88, 88, 88, 88, 87, 87, 87, 87, 87, 84, 84, 84, 84, 84, 83, 83, 83, 83, 83, 80, 80, 80, 80, 79, 76, 76, 76, 76, 76, 80]",
,39df1874faebd1a8afae9182991dc974,1901601125,"{'firstname': None, 'lastname': None, 'profile_medium': None, 'profile': None, 'city': None, 'state': None, 'country': None, 'sex': None, 'friend': None, 'follower': None, 'premium': None, 'created_at': None, 'updated_at': None, 'approve_followers': None, 'badge_type_id': None, 'follower_count': None, 'friend_count': None, 'mutual_friend_count': None, 'athlete_type': None, 'date_preference': None, 'measurement_preference': None, 'email': None, 'clubs': None, 'bikes': None, 'shoes': None, 'super_user': None, 'email_language': None, 'weight': None, 'max_heartrate': None, 'username': None, 'description': None, 'instagram_username': None, 'offer_in_app_payment': None, 'global_privacy': None, 'receive_newsletter': None, 'email_kom_lost': None, 'dateofbirth': None, 'facebook_sharing_enabled': None, 'ftp': None, 'profile_original': None, 'premium_expiration_date': None, 'email_send_follower_notices': None, 'plan': None, 'agreed_to_terms': None, 'follower_request_count': None, 'email_facebook_twitter_friend_joins': None, 'receive_kudos_emails': None, 'receive_follower_feed_emails': None, 'receive_comment_emails': None, 'sample_race_distance': None, 'sample_race_time': None, 'membership': None, 'admin': None, 'owner': None, 'subscription_permissions': None}",Morning Ride,5762.0,0:18:15,0:19:57,73.3,296.0,266.0,Ride,2018-08-14T12:30:04+00:00,2018-08-14T08:30:04,America/New_York,-14400.0,"33.77,-84.37","33.79,-84.4",,,,33.77,-84.37,1,0,0,0,2,0,0,"{'id': 'a1771364597', 'polyline': None, 'summary_polyline': 'slbmEb_|aO{NpIuj@rJwNtH}FhFF~X}C`@qCfFeAtSwPfAm@p`@x@xBoArXz@`Cg@xD|@zDLtX`@nDtFX'}",False,True,False,False,False,,,5.262,11.6,False,False,,,,,109.4,,,,False,,,,119.8,,,,,,10,,,,,False,,,,,,,,
,7fac6b88ccba2329d275a9dadb2b1ae1,1900417670,"{'firstname': None, 'lastname': None, 'profile_medium': None, 'profile': None, 'city': None, 'state': None, 'country': None, 'sex': None, 'friend': None, 'follower': None, 'premium': None, 'created_at': None, 'updated_at': None, 'approve_followers': None, 'badge_type_id': None, 'follower_count': None, 'friend_count': None, 'mutual_friend_count': None, 'athlete_type': None, 'date_preference': None, 'measurement_preference': None, 'email': None, 'clubs': None, 'bikes': None, 'shoes': None, 'super_user': None, 'email_language': None, 'weight': None, 'max_heartrate': None, 'username': None, 'description': None, 'instagram_username': None, 'offer_in_app_payment': None, 'global_privacy': None, 'receive_newsletter': None, 'email_kom_lost': None, 'dateofbirth': None, 'facebook_sharing_enabled': None, 'ftp': None, 'profile_original': None, 'premium_expiration_date': None, 'email_send_follower_notices': None, 'plan': None, 'agreed_to_terms': None, 'follower_request_count': None, 'email_facebook_twitter_friend_joins': None, 'receive_kudos_emails': None, 'receive_follower_feed_emails': None, 'receive_comment_emails': None, 'sample_race_distance': None, 'sample_race_time': None, 'membership': None, 'admin': None, 'owner': None, 'subscription_permissions': None}",Afternoon Ride,6989.3,0:22:43,0:24:16,79.9,304.0,265.8,Ride,2018-08-13T21:28:09+00:00,2018-08-13T17:28:09,America/New_York,-14400.0,"33.78,-84.4","33.77,-84.37",,,,33.78,-84.4,1,0,0,0,1,0,0,"{'id': 'a1770213450', 'polyline': None, 'summary_polyline': 'inemEdmbbOsJ[m@dDdSDHiC|AwAfEQBaFvSJ^qHpFIPu[n@K_Eu@HyNhGSLaBh@uXud@eCCkbAbTuNhm@{KzNiI'}",False,False,False,False,False,,,5.128,13.2,False,False,,,,,108.5,,,,False,,,,147.9,,,,,,10,,,,,False,,,,,,,,
,43262039aef43939570a738f98042f9f,1899399673,"{'firstname': None, 'lastname': None, 'profile_medium': None, 'profile': None, 'city': None, 'state': None, 'country': None, 'sex': None, 'friend': None, 'follower': None, 'premium': None, 'created_at': None, 'updated_at': None, 'approve_followers': None, 'badge_type_id': None, 'follower_count': None, 'friend_count': None, 'mutual_friend_count': None, 'athlete_type': None, 'date_preference': None, 'measurement_preference': None, 'email': None, 'clubs': None, 'bikes': None, 'shoes': None, 'super_user': None, 'email_language': None, 'weight': None, 'max_heartrate': None, 'username': None, 'description': None, 'instagram_username': None, 'offer_in_app_payment': None, 'global_privacy': None, 'receive_newsletter': None, 'email_kom_lost': None, 'dateofbirth': None, 'facebook_sharing_enabled': None, 'ftp': None, 'profile_original': None, 'premium_expiration_date': None, 'email_send_follower_notices': None, 'plan': None, 'agreed_to_terms': None, 'follower_request_count': None, 'email_facebook_twitter_friend_joins': None, 'receive_kudos_emails': None, 'receive_follower_feed_emails': None, 'receive_comment_emails': None, 'sample_race_distance': None, 'sample_race_time': None, 'membership': None, 'admin': None, 'owner': None, 'subscription_permissions': None}",Morning Ride,5417.1,0:18:21,0:19:28,65.4,296.0,266.0,Ride,2018-08-13T12:48:33+00:00,2018-08-13T08:48:33,America/New_York,-14400.0,"33.77,-84.37","33.78,-84.4",,,,33.77,-84.37,2,0,0,0,1,0,0,"{'id': 'a1769224366', 'polyline': None, 'summary_polyline': 'y`cmE|j|aOsi@nJwRtMO`ZyCh@eDfGm@vQ}PxAcAd}@pAlOFbYf@lDjEEbCnBqAY'}",False,False,False,False,False,,,4.92,11.5,False,False,,,,,99.6,,,,False,,,,109.6,,,,,,10,,,,,False,,,,,,,,
,5f075842a2aab7853cf9a17ac9ca149f,1886538516,"{'firstname': None, 'lastname': None, 'profile_medium': None, 'profile': None, 'city': None, 'state': None, 'country': None, 'sex': None, 'friend': None, 'follower': None, 'premium': None, 'created_at': None, 'updated_at': None, 'approve_followers': None, 'badge_type_id': None, 'follower_count': None, 'friend_count': None, 'mutual_friend_count': None, 'athlete_type': None, 'date_preference': None, 'measurement_preference': None, 'email': None, 'clubs': None, 'bikes': None, 'shoes': None, 'super_user': None, 'email_language': None, 'weight': None, 'max_heartrate': None, 'username': None, 'description': None, 'instagram_username': None, 'offer_in_app_payment': None, 'global_privacy': None, 'receive_newsletter': None, 'email_kom_lost': None, 'dateofbirth': None, 'facebook_sharing_enabled': None, 'ftp': None, 'profile_original': None, 'premium_expiration_date': None, 'email_send_follower_notices': None, 'plan': None, 'agreed_to_terms': None, 'follower_request_count': None, 'email_facebook_twitter_friend_joins': None, 'receive_kudos_emails': None, 'receive_follower_feed_emails': None, 'receive_comment_emails': None, 'sample_race_distance': None, 'sample_race_time': None, 'membership': None, 'admin': None, 'owner': None, 'subscription_permissions': None}",Afternoon Ride,5459.4,0:19:28,0:23:45,67.1,296.0,265.4,Ride,2018-08-07T21:10:51+00:00,2018-08-07T17:10:51,America/New_York,-14400.0,"33.79,-84.4","33.77,-84.37",,,,33.79,-84.4,1,0,0,0,1,0,0,"{'id': 'a1757014600', 'polyline': None, 'summary_polyline': 'isemE~obbOoG_BgAem@j@}N}BcOlD^Ws_@jIgAxBlBjBoBl@uRrCiFdDo@KyYzTkNjg@qI'}",False,True,False,False,False,,,4.674,17.7,False,False,,,,,96.9,,,,False,,,,113.2,,,,,,10,,,,,False,,,,,,,,
,691b12f909b7fa00cfaacc83eb3dd8a0,1885114225,"{'firstname': None, 'lastname': None, 'profile_medium': None, 'profile': None, 'city': None, 'state': None, 'country': None, 'sex': None, 'friend': None, 'follower': None, 'premium': None, 'created_at': None, 'updated_at': None, 'approve_followers': None, 'badge_type_id': None, 'follower_count': None, 'friend_count': None, 'mutual_friend_count': None, 'athlete_type': None, 'date_preference': None, 'measurement_preference': None, 'email': None, 'clubs': None, 'bikes': None, 'shoes': None, 'super_user': None, 'email_language': None, 'weight': None, 'max_heartrate': None, 'username': None, 'description': None, 'instagram_username': None, 'offer_in_app_payment': None, 'global_privacy': None, 'receive_newsletter': None, 'email_kom_lost': None, 'dateofbirth': None, 'facebook_sharing_enabled': None, 'ftp': None, 'profile_original': None, 'premium_expiration_date': None, 'email_send_follower_notices': None, 'plan': None, 'agreed_to_terms': None, 'follower_request_count': None, 'email_facebook_twitter_friend_joins': None, 'receive_kudos_emails': None, 'receive_follower_feed_emails': None, 'receive_comment_emails': None, 'sample_race_distance': None, 'sample_race_time': None, 'membership': None, 'admin': None, 'owner': None, 'subscription_permissions': None}",Morning Ride,5410.2,0:18:16,0:20:43,64.9,296.0,266.0,Ride,2018-08-07T12:31:10+00:00,2018-08-07T08:31:10,America/New_York,-14400.0,"33.77,-84.37","33.78,-84.4",,,,33.77,-84.37,0,0,0,0,1,0,0,"{'id': 'a1755897913', 'polyline': None, 'summary_polyline': 'glbmEd_|aOcPvImm@nKqR|MAvYeDj@mC|EcA|SyPdAq@fm@dAtJ{AnC~@fCs@zDbAFXl`@b@xBxFMFhB'}",False,False,False,False,False,,,4.936,10.8,False,False,,,,,98.3,,,,False,,,,107.8,,,,,,10,,,,,False,,,,,,,,
,83c8941fa1b61f030c1ee5dec7939735,1865932662,"{'firstname': None, 'lastname': None, 'profile_medium': None, 'profile': None, 'city': None, 'state': None, 'country': None, 'sex': None, 'friend': None, 'follower': None, 'premium': None, 'created_at': None, 'updated_at': None, 'approve_followers': None, 'badge_type_id': None, 'follower_count': None, 'friend_count': None, 'mutual_friend_count': None, 'athlete_type': None, 'date_preference': None, 'measurement_preference': None, 'email': None, 'clubs': None, 'bikes': None, 'shoes': None, 'super_user': None, 'email_language': None, 'weight': None, 'max_heartrate': None, 'username': None, 'description': None, 'instagram_username': None, 'offer_in_app_payment': None, 'global_privacy': None, 'receive_newsletter': None, 'email_kom_lost': None, 'dateofbirth': None, 'facebook_sharing_enabled': None, 'ftp': None, 'profile_original': None, 'premium_expiration_date': None, 'email_send_follower_notices': None, 'plan': None, 'agreed_to_terms': None, 'follower_request_count': None, 'email_facebook_twitter_friend_joins': None, 'receive_kudos_emails': None, 'receive_follower_feed_emails': None, 'receive_comment_emails': None, 'sample_race_distance': None, 'sample_race_time': None, 'membership': None, 'admin': None, 'owner': None, 'subscription_permissions': None}",Night Run,3221.1,0:17:24,0:17:28,12.4,281.6,273.9,Run,2018-07-31T01:57:44+00:00,2018-07-30T21:57:44,America/New_York,-14400.0,"33.77,-84.37","33.77,-84.37",,,,33.77,-84.37,3,1,0,0,1,0,0,"{'id': 'a1739085692', 'polyline': None, 'summary_polyline': None}",False,False,False,False,False,,,3.085,4.7,,False,,,,,,,,,False,,,,,,,,,,0,,,,,False,,,,,,,,
,36ac97f037dca71b4322b7e6dc2acb75,1856539787,"{'firstname': None, 'lastname': None, 'profile_medium': None, 'profile': None, 'city': None, 'state': None, 'country': None, 'sex': None, 'friend': None, 'follower': None, 'premium': None, 'created_at': None, 'updated_at': None, 'approve_followers': None, 'badge_type_id': None, 'follower_count': None, 'friend_count': None, 'mutual_friend_count': None, 'athlete_type': None, 'date_preference': None, 'measurement_preference': None, 'email': None, 'clubs': None, 'bikes': None, 'shoes': None, 'super_user': None, 'email_language': None, 'weight': None, 'max_heartrate': None, 'username': None, 'description': None, 'instagram_username': None, 'offer_in_app_payment': None, 'global_privacy': None, 'receive_newsletter': None, 'email_kom_lost': None, 'dateofbirth': None, 'facebook_sharing_enabled': None, 'ftp': None, 'profile_original': None, 'premium_expiration_date': None, 'email_send_follower_notices': None, 'plan': None, 'agreed_to_terms': None, 'follower_request_count': None, 'email_facebook_twitter_friend_joins': None, 'receive_kudos_emails': None, 'receive_follower_feed_emails': None, 'receive_comment_emails': None, 'sample_race_distance': None, 'sample_race_time': None, 'membership': None, 'admin': None, 'owner': None, 'subscription_permissions': None}",Afternoon Ride,5732.5,0:17:40,0:20:34,68.5,296.0,266.0,Ride,2018-07-26T21:29:28+00:00,2018-07-26T17:29:28,America/New_York,-14400.0,"33.78,-84.4","33.77,-84.36",,,,33.78,-84.4,2,1,0,0,1,0,0,"{'id': 'a1730036927', 'polyline': None, 'summary_polyline': 'uqemExlbbOaHEg@jCrIj@sHSWuCa@sh@y@mCx@kHs@oCRwL`BqBo@y_@lJiAhBrBlA}Az@gSzCqFrCW@_ZvT{Nxg@uI'}",False,False,False,False,False,,,5.408,13.4,False,False,,,,,110.5,,,,False,,,,117.2,,,,,,10,,,,,False,,,,,,,,
,6af05f54b65427602f0ef6a339e4d591,1855454898,"{'firstname': None, 'lastname': None, 'profile_medium': None, 'profile': None, 'city': None, 'state': None, 'country': None, 'sex': None, 'friend': None, 'follower': None, 'premium': None, 'created_at': None, 'updated_at': None, 'approve_followers': None, 'badge_type_id': None, 'follower_count': None, 'friend_count': None, 'mutual_friend_count': None, 'athlete_type': None, 'date_preference': None, 'measurement_preference': None, 'email': None, 'clubs': None, 'bikes': None, 'shoes': None, 'super_user': None, 'email_language': None, 'weight': None, 'max_heartrate': None, 'username': None, 'description': None, 'instagram_username': None, 'offer_in_app_payment': None, 'global_privacy': None, 'receive_newsletter': None, 'email_kom_lost': None, 'dateofbirth': None, 'facebook_sharing_enabled': None, 'ftp': None, 'profile_original': None, 'premium_expiration_date': None, 'email_send_follower_notices': None, 'plan': None, 'agreed_to_terms': None, 'follower_request_count': None, 'email_facebook_twitter_friend_joins': None, 'receive_kudos_emails': None, 'receive_follower_feed_emails': None, 'receive_comment_emails': None, 'sample_race_distance': None, 'sample_race_time': None, 'membership': None, 'admin': None, 'owner': None, 'subscription_permissions': None}",Morning Ride,5715.4,0:19:51,0:23:48,70.8,296.0,266.0,Ride,2018-07-26T12:46:45+00:00,2018-07-26T08:46:45,America/New_York,-14400.0,"33.77,-84.37","33.78,-84.4",,,,33.77,-84.37,0,0,0,0,1,0,0,"{'id': 'a1728990881', 'polyline': None, 'summary_polyline': 'elbmEb_|aO{UpKsg@vIgSzM@vYgC`@}CrFcAjSaQpAVxYqAvPfA`G_A`RbAz@Tv`@`@tAzGS'}",False,False,False,False,False,,,4.799,13.5,False,False,,,,,99.0,,,,False,,,,117.9,,,,,,10,,,,,False,,,,,,,,
