start_date_local,elapsed_time,moving_time
2019-08-08 17:38:21.930000,0:12:04.070000,0:12:04.070000
2019-10-08 17:12:35.470000,0:18:39.530000,0:18:39.530000
2019-04-16 08:42:12.520000,0:12:27.480000,0:12:27.480000
2019-04-22 17:35:31.430000,0:15:51.570000,0:15:51.570000
2019-08-05 09:08:42.670000,0:11:24.330000,0:11:24.330000
2019-09-26 09:25:43.280000,0:11:31.720000,0:11:31.720000
2019-02-07 09:09:39.640000,0:11:35.360000,0:11:35.360000
2019-03-29 17:50:22.720000,0:14:49.280000,0:14:49.280000
2019-04-12 08:36:57.070000,0:09:32.930000,0:09:32.930000
2019-07-16 09:13:34.960000,0:09:47.040000,0:09:47.040000
2019-09-06 17:11:48.630000,0:12:20.370000,0:12:20.370000
2019-01-18 08:51:12.060000,0:13:37.940000,0:13:37.940000
2019-08-07 09:11:55.810000,0:09:40.190000,0:09:40.190000
2019-12-02 17:49:57.530000,0:11:07.470000,0:11:07.470000
2019-08-22 09:15:30.760000,0:11:46.240000,0:11:46.240000
2020-01-09 09:26:28.620000,0:15:56.380000,0:15:56.380000
2019-06-24 09:16:59.750000,0:14:47.250000,0:14:47.250000
2019-05-31 08:44:02.980000,0:13:20.020000,0:13:20.020000
2019-10-07 09:06:28.790000,0:10:19.210000,0:10:19.210000
2019-11-05 09:11:38.180000,0:13:30.820000,0:13:30.820000
2019-07-15 09:22:29.860000,0:10:53.140000,0:10:53.140000
2019-05-20 09:05:08.890000,0:10:42.110000,0:10:42.110000
2019-01-11 17:12:29.650000,0:10:41.350000,0:10:41.350000
2019-07-03 17:45:00.010000,0:09:24.990000,0:09:24.990000
2019-07-11 17:53:07.270000,0:11:39.730000,0:11:39.730000
2019-01-24 17:17:46.410000,0:10:24.590000,0:10:24.590000
2019-07-09 09:22:44.250000,0:13:38.750000,0:13:38.750000
2019-04-19 08:56:26.780000,0:12:28.220000,0:12:28.220000
2019-11-07 17:08:41.010000,0:11:29.990000,0:11:29.990000
2019-03-05 16:45:32.010000,0:13:17.990000,0:13:17.990000
2019-08-22 18:00:42.980000,0:12:39.020000,0:12:39.020000
2019-08-06 09:27:45.670000,0:09:49.330000,0:09:49.330000
